GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
SZRD1	-5.35	12	-1.09	0.139	1712	0.905	0.861	16346	0.951
TNFSF4	-5.35	12	-1.09	0.139	1713	0.905	0.861	16345	0.951
PLBD1	-5.34	12	-1.08	0.139	1714	0.905	0.861	16344	0.951
ELAVL3	-5.34	12	-1.08	0.139	1715	0.905	0.861	16343	0.951
JMJD6	-5.34	12	-1.08	0.139	1716	0.905	0.861	16342	0.951
PTPLAD2	-5.34	12	-1.08	0.139	1717	0.905	0.861	16341	0.951
SORT1	-5.34	12	-1.08	0.139	1718	0.905	0.861	16340	0.951
TXNDC12	-5.34	12	-1.08	0.139	1719	0.905	0.861	16339	0.951
OR6C2	-5.34	12	-1.08	0.139	1720	0.905	0.861	16338	0.951
GOLPH3	-5.34	12	-1.08	0.139	1721	0.905	0.861	16337	0.951
ZNF491	-5.34	12	-1.08	0.139	1722	0.905	0.861	16336	0.951
SMKR1	-5.33	12	-1.08	0.14	1723	0.905	0.86	16335	0.951
PTPRA	-5.33	12	-1.08	0.14	1724	0.905	0.86	16334	0.951
BTBD9	-5.33	12	-1.08	0.14	1725	0.905	0.86	16333	0.951
UBE2D1	-5.33	12	-1.08	0.14	1726	0.905	0.86	16332	0.951
FGFBP1	-5.32	12	-1.08	0.14	1727	0.905	0.86	16331	0.951
OR6C70	-5.32	12	-1.08	0.14	1728	0.905	0.86	16330	0.951
RAB3B	-5.32	12	-1.08	0.14	1729	0.905	0.86	16329	0.951
ZNF696	-5.32	12	-1.08	0.14	1730	0.905	0.86	16328	0.951
HOXD3	-5.32	12	-1.08	0.14	1731	0.905	0.86	16327	0.951
AKT2	-5.31	12	-1.08	0.14	1732	0.905	0.86	16326	0.951
CDH10	-5.31	12	-1.08	0.14	1733	0.905	0.86	16325	0.951
ZNF141	-4.60	9	-1.08	0.14	1734	0.905	0.86	16324	0.951
JUNB	-5.31	12	-1.08	0.14	1735	0.905	0.86	16323	0.951
SLC2A13	-5.31	12	-1.08	0.14	1736	0.905	0.86	16322	0.951
COLCA1	-5.31	12	-1.08	0.141	1737	0.905	0.859	16321	0.951
SP5	-5.31	12	-1.08	0.141	1738	0.905	0.859	16320	0.951
GZMK	-5.30	12	-1.08	0.141	1739	0.905	0.859	16319	0.951
ZWILCH	-5.30	12	-1.08	0.141	1740	0.905	0.859	16318	0.951
C19orf57	-5.30	12	-1.08	0.141	1741	0.905	0.859	16317	0.951
ODF2L	-5.30	12	-1.08	0.141	1742	0.905	0.859	16316	0.951
C9orf37	-5.29	12	-1.08	0.141	1743	0.905	0.859	16315	0.951
CUL7	-5.29	12	-1.08	0.141	1744	0.905	0.859	16314	0.951
COX5A	-5.29	12	-1.07	0.141	1745	0.905	0.859	16313	0.951
SLC45A3	-5.29	12	-1.07	0.141	1746	0.905	0.859	16312	0.951
G6PC	-5.29	12	-1.07	0.141	1747	0.905	0.859	16311	0.951
KBTBD12	-5.29	12	-1.07	0.141	1748	0.905	0.859	16310	0.951
AKAP13	-5.29	12	-1.07	0.141	1749	0.905	0.859	16309	0.951
KRBOX4	-2.64	3	-1.07	0.141	1750	0.905	0.859	16308	0.951
AIPL1	-5.29	12	-1.07	0.141	1751	0.905	0.859	16307	0.951
SPINT2	-5.29	12	-1.07	0.141	1752	0.905	0.859	16306	0.951
NPFF	-5.29	12	-1.07	0.141	1753	0.905	0.859	16305	0.951
POLR3GL	-5.28	12	-1.07	0.141	1754	0.905	0.859	16304	0.951
TEX22	-5.28	12	-1.07	0.142	1755	0.905	0.858	16303	0.951
CCL26	-5.28	12	-1.07	0.142	1756	0.905	0.858	16302	0.951
ZFAND2B	-5.28	12	-1.07	0.142	1757	0.905	0.858	16301	0.951
ATP1B3	-5.28	12	-1.07	0.142	1758	0.905	0.858	16300	0.951
SFPQ	-5.28	12	-1.07	0.142	1759	0.905	0.858	16299	0.951
OPTC	-5.28	12	-1.07	0.142	1760	0.905	0.858	16298	0.951
SCG3	-5.28	12	-1.07	0.142	1761	0.905	0.858	16297	0.951
MSH4	-5.28	12	-1.07	0.142	1762	0.905	0.858	16296	0.951
RAB2B	-5.28	12	-1.07	0.142	1763	0.905	0.858	16295	0.951
SNAP47	-5.28	12	-1.07	0.142	1764	0.905	0.858	16294	0.951
DENND2A	-5.28	12	-1.07	0.142	1765	0.905	0.858	16293	0.951
CCL20	-5.27	12	-1.07	0.142	1766	0.905	0.858	16292	0.951
C9orf47	-5.27	12	-1.07	0.142	1767	0.905	0.858	16291	0.951
SEMA6C	-5.27	12	-1.07	0.142	1768	0.905	0.858	16290	0.951
CEP350	-5.27	12	-1.07	0.142	1769	0.905	0.858	16289	0.951
OR7D4	-5.27	12	-1.07	0.142	1770	0.905	0.858	16288	0.951
HMGN5	-4.56	9	-1.07	0.142	1771	0.905	0.858	16287	0.951
CLCA1	-5.27	12	-1.07	0.142	1772	0.905	0.858	16286	0.951
GIPC2	-5.27	12	-1.07	0.142	1773	0.905	0.858	16285	0.951
SORD	-5.27	12	-1.07	0.142	1774	0.905	0.858	16284	0.951
TSPAN18	-5.27	12	-1.07	0.142	1775	0.905	0.858	16283	0.951
TCEA3	-5.26	12	-1.07	0.142	1776	0.905	0.858	16282	0.951
SGK2	-5.26	12	-1.07	0.142	1777	0.905	0.858	16281	0.951
PDE11A	-5.26	12	-1.07	0.142	1778	0.905	0.858	16280	0.951
ADORA3	-5.26	12	-1.07	0.143	1779	0.905	0.857	16279	0.951
RAMP2	-5.26	12	-1.07	0.143	1780	0.905	0.857	16278	0.951
FBP1	-5.25	12	-1.07	0.143	1781	0.905	0.857	16277	0.951
RAVER2	-5.25	12	-1.07	0.143	1782	0.905	0.857	16276	0.951
GRPR	-5.25	12	-1.07	0.143	1783	0.905	0.857	16275	0.951
GLTSCR1L	-5.25	12	-1.07	0.143	1784	0.905	0.857	16274	0.951
MSS51	-5.24	12	-1.07	0.143	1785	0.905	0.857	16273	0.951
INHBE	-5.24	12	-1.07	0.143	1786	0.905	0.857	16272	0.951
GOLT1A	-5.24	12	-1.07	0.143	1787	0.905	0.857	16271	0.951
OTX1	-5.24	12	-1.06	0.143	1788	0.905	0.857	16270	0.951
ABCC4	-5.24	12	-1.06	0.144	1789	0.905	0.856	16269	0.951
CLU	-5.23	12	-1.06	0.144	1790	0.905	0.856	16268	0.951
CHCHD3	-5.23	12	-1.06	0.144	1791	0.905	0.856	16267	0.951
ZFP69	-5.23	12	-1.06	0.144	1792	0.905	0.856	16266	0.951
NUDT18	-2.62	3	-1.06	0.144	1793	0.905	0.856	16265	0.951
SMARCE1	-5.23	12	-1.06	0.144	1794	0.905	0.856	16264	0.951
DCLRE1B	-5.23	12	-1.06	0.144	1795	0.905	0.856	16263	0.951
CTTNBP2NL	-5.23	12	-1.06	0.144	1796	0.905	0.856	16262	0.951
KRT19	-5.23	12	-1.06	0.144	1797	0.905	0.856	16261	0.951
RHPN1	-5.23	12	-1.06	0.144	1798	0.905	0.856	16260	0.951
SNTN	-5.22	12	-1.06	0.144	1799	0.905	0.856	16259	0.951
EIF2S3L	-5.22	12	-1.06	0.144	1800	0.905	0.856	16258	0.951
FCAR	-5.22	12	-1.06	0.144	1801	0.905	0.856	16257	0.951
RABL5	-5.22	12	-1.06	0.144	1802	0.905	0.856	16256	0.951
CCDC125	-5.22	12	-1.06	0.144	1803	0.905	0.856	16255	0.951
OR5M8	-5.22	12	-1.06	0.144	1804	0.905	0.856	16254	0.951
LSR	-5.22	12	-1.06	0.144	1805	0.905	0.856	16253	0.95
TRMT12	-5.21	12	-1.06	0.145	1806	0.905	0.855	16252	0.95
ZNF101	-5.21	12	-1.06	0.145	1807	0.905	0.855	16251	0.95
RERGL	-5.21	12	-1.06	0.145	1808	0.905	0.855	16250	0.95
RPS6KA3	-5.21	12	-1.06	0.145	1809	0.905	0.855	16249	0.95
C1orf105	-5.21	12	-1.06	0.145	1810	0.905	0.855	16248	0.95
FCRL6	-5.21	12	-1.06	0.145	1811	0.905	0.855	16247	0.95
SPPL2A	-5.20	12	-1.06	0.145	1812	0.905	0.855	16246	0.95
RDH8	-5.20	12	-1.06	0.145	1813	0.905	0.855	16245	0.95
ACTR3	-5.20	12	-1.06	0.145	1814	0.905	0.855	16244	0.95
CEP97	-5.20	12	-1.06	0.145	1815	0.905	0.855	16243	0.95
TACR1	-5.20	12	-1.06	0.145	1816	0.905	0.855	16242	0.95
NR2F6	-5.20	12	-1.06	0.145	1817	0.905	0.855	16241	0.95
SNAI2	-5.20	12	-1.06	0.145	1818	0.905	0.855	16240	0.95
DPT	-5.20	12	-1.06	0.145	1819	0.905	0.855	16239	0.95
HSH2D	-5.20	12	-1.06	0.145	1820	0.905	0.855	16238	0.95
EFNA1	-5.19	12	-1.06	0.145	1821	0.905	0.855	16237	0.95
COQ4	-5.19	12	-1.06	0.146	1822	0.905	0.854	16236	0.95
APOBEC3D	-5.19	12	-1.06	0.146	1823	0.905	0.854	16235	0.95
ANKRD27	-5.19	12	-1.06	0.146	1824	0.905	0.854	16234	0.95
ITFG2	-5.19	12	-1.06	0.146	1825	0.905	0.854	16233	0.95
DYNC2LI1	-5.19	12	-1.06	0.146	1826	0.905	0.854	16232	0.95
PPP1R32	-5.19	12	-1.06	0.146	1827	0.905	0.854	16231	0.95
IPPK	-5.19	12	-1.05	0.146	1828	0.905	0.854	16230	0.95
TMOD2	-5.18	12	-1.05	0.146	1829	0.905	0.854	16229	0.95
HTR5A	-5.18	12	-1.05	0.146	1830	0.905	0.854	16228	0.95
SS18	-5.18	12	-1.05	0.146	1831	0.905	0.854	16227	0.95
CASQ1	-5.18	12	-1.05	0.146	1832	0.905	0.854	16226	0.95
RASGEF1B	-5.18	12	-1.05	0.146	1833	0.905	0.854	16225	0.95
MYSM1	-5.18	12	-1.05	0.146	1834	0.905	0.854	16224	0.95
PMF1	-5.18	12	-1.05	0.146	1835	0.905	0.854	16223	0.95
SIAH3	-5.18	12	-1.05	0.146	1836	0.905	0.854	16222	0.95
OR6N1	-5.17	12	-1.05	0.146	1837	0.905	0.854	16221	0.95
FOXN3	-5.17	12	-1.05	0.146	1838	0.905	0.854	16220	0.95
CAPG	-5.17	12	-1.05	0.146	1839	0.905	0.854	16219	0.95
PLS1	-5.17	12	-1.05	0.146	1840	0.905	0.854	16218	0.95
YLPM1	-5.17	12	-1.05	0.146	1841	0.905	0.854	16217	0.95
WISP3	-5.17	12	-1.05	0.146	1842	0.905	0.854	16216	0.95
BRINP1	-5.17	12	-1.05	0.146	1843	0.905	0.854	16215	0.95
FGD1	-5.17	12	-1.05	0.147	1844	0.905	0.853	16214	0.95
NCCRP1	-5.17	12	-1.05	0.147	1845	0.905	0.853	16213	0.95
PARP8	-5.17	12	-1.05	0.147	1846	0.905	0.853	16212	0.95
BTN1A1	-5.17	12	-1.05	0.147	1847	0.905	0.853	16211	0.95
FAM155B	-5.16	12	-1.05	0.147	1848	0.905	0.853	16210	0.95
LMOD3	-5.16	12	-1.05	0.147	1849	0.905	0.853	16209	0.95
PDZK1	-5.16	12	-1.05	0.147	1850	0.905	0.853	16208	0.95
GSS	-5.16	12	-1.05	0.147	1851	0.905	0.853	16207	0.95
S100A4	-5.16	12	-1.05	0.147	1852	0.905	0.853	16206	0.95
KRTAP10-5	-3.65	6	-1.05	0.147	1853	0.905	0.853	16205	0.95
UBQLN3	-5.16	12	-1.05	0.147	1854	0.905	0.853	16204	0.95
GIF	-5.16	12	-1.05	0.147	1855	0.905	0.853	16203	0.95
C4orf40	-5.16	12	-1.05	0.147	1856	0.905	0.853	16202	0.95
REPIN1	-5.16	12	-1.05	0.147	1857	0.905	0.853	16201	0.95
RBM42	-5.16	12	-1.05	0.147	1858	0.905	0.853	16200	0.95
CNNM2	-5.15	12	-1.05	0.147	1859	0.905	0.853	16199	0.95
ARID3B	-5.15	12	-1.05	0.147	1860	0.905	0.853	16198	0.95
SESTD1	-5.15	12	-1.05	0.147	1861	0.905	0.853	16197	0.95
RP11-422N16.3	-5.15	12	-1.05	0.147	1862	0.905	0.853	16196	0.95
GK	-5.14	12	-1.05	0.148	1863	0.905	0.852	16195	0.95
C19orf12	-5.14	12	-1.05	0.148	1864	0.905	0.852	16194	0.95
LY6G6F	-5.14	12	-1.05	0.148	1865	0.905	0.852	16193	0.95
OLFML1	-5.14	12	-1.05	0.148	1866	0.905	0.852	16192	0.95
DLGAP4	-5.14	12	-1.05	0.148	1867	0.905	0.852	16191	0.95
VASP	-5.14	12	-1.05	0.148	1868	0.905	0.852	16190	0.95
SLC20A2	-5.14	12	-1.05	0.148	1869	0.905	0.852	16189	0.95
CORO1B	-5.14	12	-1.05	0.148	1870	0.905	0.852	16188	0.95
CNTLN	-5.14	12	-1.05	0.148	1871	0.905	0.852	16187	0.95
GCH1	-5.13	12	-1.04	0.148	1872	0.905	0.852	16186	0.95
SUOX	-5.13	12	-1.04	0.148	1873	0.905	0.852	16185	0.95
RAB36	-5.13	12	-1.04	0.148	1874	0.905	0.852	16184	0.95
MANEAL	-5.13	12	-1.04	0.148	1875	0.905	0.852	16183	0.95
C11orf54	-5.13	12	-1.04	0.148	1876	0.905	0.852	16182	0.95
ZC3H14	-5.13	12	-1.04	0.148	1877	0.905	0.852	16181	0.95
C8orf46	-5.13	12	-1.04	0.148	1878	0.905	0.852	16180	0.95
GBP4	-5.13	12	-1.04	0.148	1879	0.905	0.852	16179	0.95
DAB2	-5.12	12	-1.04	0.148	1880	0.905	0.852	16178	0.95
DIP2B	-5.12	12	-1.04	0.149	1881	0.905	0.851	16177	0.95
FBXO24	-5.12	12	-1.04	0.149	1882	0.905	0.851	16176	0.95
PPY	-5.12	12	-1.04	0.149	1883	0.905	0.851	16175	0.95
VIPAS39	-5.12	12	-1.04	0.149	1884	0.905	0.851	16174	0.95
KIAA0907	-5.11	12	-1.04	0.149	1885	0.905	0.851	16173	0.95
CAD	-5.11	12	-1.04	0.149	1886	0.905	0.851	16172	0.95
PLSCR5	-5.11	12	-1.04	0.149	1887	0.905	0.851	16171	0.95
C2orf61	-5.11	12	-1.04	0.149	1888	0.905	0.851	16170	0.95
GRIP1	-5.11	12	-1.04	0.149	1889	0.905	0.851	16169	0.95
PHC1	-5.11	12	-1.04	0.149	1890	0.905	0.851	16168	0.95
ETV4	-5.10	12	-1.04	0.149	1891	0.905	0.851	16167	0.95
IRF8	-5.10	12	-1.04	0.149	1892	0.905	0.851	16166	0.95
CASC4	-5.10	12	-1.04	0.149	1893	0.905	0.851	16165	0.95
HSD17B14	-5.10	12	-1.04	0.149	1894	0.905	0.851	16164	0.95
TARM1	-5.10	12	-1.04	0.15	1895	0.905	0.85	16163	0.95
MSRB3	-5.10	12	-1.04	0.15	1896	0.905	0.85	16162	0.95
REM1	-5.09	12	-1.04	0.15	1897	0.905	0.85	16161	0.95
ANKRD55	-5.09	12	-1.04	0.15	1898	0.905	0.85	16160	0.95
WNT1	-5.09	12	-1.04	0.15	1899	0.905	0.85	16159	0.95
IQGAP2	-5.09	12	-1.04	0.15	1900	0.905	0.85	16158	0.95
CLEC4G	-5.09	12	-1.04	0.15	1901	0.905	0.85	16157	0.95
THBS4	-5.09	12	-1.04	0.15	1902	0.905	0.85	16156	0.95
RASGRP4	-5.09	12	-1.04	0.15	1903	0.905	0.85	16155	0.95
CCDC144NL	-3.60	6	-1.04	0.15	1904	0.905	0.85	16154	0.95
TCP11	-5.09	12	-1.04	0.15	1905	0.905	0.85	16153	0.95
RASL10B	-5.09	12	-1.04	0.15	1906	0.905	0.85	16152	0.95
U2AF1L4	-5.09	12	-1.04	0.15	1907	0.905	0.85	16151	0.95
OR2T27	-2.54	3	-1.04	0.15	1908	0.905	0.85	16150	0.95
DNAJC25	-5.09	12	-1.04	0.15	1909	0.905	0.85	16149	0.95
DVL3	-5.09	12	-1.04	0.15	1910	0.905	0.85	16148	0.95
CR2	-5.08	12	-1.04	0.15	1911	0.905	0.85	16147	0.95
TAS2R8	-5.08	12	-1.04	0.15	1912	0.905	0.85	16146	0.95
RFC4	-5.08	12	-1.03	0.15	1913	0.905	0.85	16145	0.95
C19orf73	-5.08	12	-1.03	0.151	1914	0.905	0.849	16144	0.95
PAIP2B	-5.08	12	-1.03	0.151	1915	0.905	0.849	16143	0.95
INHBB	-5.07	12	-1.03	0.151	1916	0.905	0.849	16142	0.95
C6ORF165	-5.07	12	-1.03	0.151	1917	0.905	0.849	16141	0.95
RAI2	-5.07	12	-1.03	0.151	1918	0.905	0.849	16140	0.95
TMBIM4	-5.07	12	-1.03	0.151	1919	0.905	0.849	16139	0.95
MAS1	-5.06	12	-1.03	0.151	1920	0.905	0.849	16138	0.95
ZNF385A	-5.06	12	-1.03	0.151	1921	0.905	0.849	16137	0.95
KRT25	-5.06	12	-1.03	0.151	1922	0.905	0.849	16136	0.95
SIGLEC6	-5.06	12	-1.03	0.151	1923	0.905	0.849	16135	0.95
GRAMD1C	-5.06	12	-1.03	0.151	1924	0.905	0.849	16134	0.95
BSND	-5.06	12	-1.03	0.151	1925	0.905	0.849	16133	0.95
SLAMF7	-5.06	12	-1.03	0.151	1926	0.905	0.849	16132	0.95
KPNA7	-5.06	12	-1.03	0.151	1927	0.905	0.849	16131	0.95
KLHDC3	-5.06	12	-1.03	0.151	1928	0.905	0.849	16130	0.95
BRPF3	-5.06	12	-1.03	0.151	1929	0.905	0.849	16129	0.95
COG4	-5.05	12	-1.03	0.152	1930	0.905	0.848	16128	0.95
ADAMTS13	-5.05	12	-1.03	0.152	1931	0.905	0.848	16127	0.95
TRIM33	-5.05	12	-1.03	0.152	1932	0.905	0.848	16126	0.95
HIST1H4A	-5.05	12	-1.03	0.152	1933	0.905	0.848	16125	0.95
GBP5	-5.04	12	-1.03	0.152	1934	0.905	0.848	16124	0.95
C2orf53	-5.04	12	-1.03	0.152	1935	0.905	0.848	16123	0.949
ALG11	-5.04	12	-1.03	0.152	1936	0.905	0.848	16122	0.949
ALG10B	-2.52	3	-1.03	0.152	1937	0.905	0.848	16121	0.949
EGR3	-5.03	12	-1.03	0.152	1938	0.905	0.848	16120	0.949
ARMC6	-5.03	12	-1.03	0.153	1939	0.905	0.847	16119	0.949
ZNF84	-5.03	12	-1.03	0.153	1940	0.905	0.847	16118	0.949
NCBP2L	-5.03	12	-1.03	0.153	1941	0.905	0.847	16117	0.949
SNAP91	-5.03	12	-1.03	0.153	1942	0.905	0.847	16116	0.949
VWA7	-5.03	12	-1.03	0.153	1943	0.905	0.847	16115	0.949
LRIF1	-5.03	12	-1.02	0.153	1944	0.905	0.847	16114	0.949
IRX5	-5.03	12	-1.02	0.153	1945	0.905	0.847	16113	0.949
TEKT5	-5.02	12	-1.02	0.153	1946	0.905	0.847	16112	0.949
STAMBP	-5.02	12	-1.02	0.153	1947	0.905	0.847	16111	0.949
TTC36	-5.02	12	-1.02	0.153	1948	0.905	0.847	16110	0.949
SIM2	-5.02	12	-1.02	0.153	1949	0.905	0.847	16109	0.949
TOP3B	-5.02	12	-1.02	0.153	1950	0.905	0.847	16108	0.949
RHPN2	-5.02	12	-1.02	0.153	1951	0.905	0.847	16107	0.949
YAP1	-5.02	12	-1.02	0.153	1952	0.905	0.847	16106	0.949
PLP2	-5.02	12	-1.02	0.153	1953	0.905	0.847	16105	0.949
ENPP2	-5.02	12	-1.02	0.153	1954	0.905	0.847	16104	0.949
FAH	-5.02	12	-1.02	0.153	1955	0.905	0.847	16103	0.949
ADCK5	-5.02	12	-1.02	0.153	1956	0.905	0.847	16102	0.949
RPUSD2	-5.01	12	-1.02	0.153	1957	0.905	0.847	16101	0.949
TRIML2	-5.01	12	-1.02	0.153	1958	0.905	0.847	16100	0.949
FUNDC1	-5.01	12	-1.02	0.154	1959	0.905	0.846	16099	0.949
ATXN2	-5.01	12	-1.02	0.154	1960	0.905	0.846	16098	0.949
NXF1	-5.01	12	-1.02	0.154	1961	0.905	0.846	16097	0.949
KIAA0408	-5.01	12	-1.02	0.154	1962	0.905	0.846	16096	0.949
PHACTR1	-5.01	12	-1.02	0.154	1963	0.905	0.846	16095	0.949
AP3S1	-5.00	12	-1.02	0.154	1964	0.905	0.846	16094	0.949
SNURF	-2.50	3	-1.02	0.154	1965	0.905	0.846	16093	0.949
CAGE1	-5.00	12	-1.02	0.154	1966	0.905	0.846	16092	0.949
PCDHB4	-5.00	12	-1.02	0.154	1967	0.905	0.846	16091	0.949
C12orf10	-5.00	12	-1.02	0.154	1968	0.905	0.846	16090	0.949
CCDC59	-5.00	12	-1.02	0.154	1969	0.905	0.846	16089	0.949
CXorf36	-5.00	12	-1.02	0.154	1970	0.905	0.846	16088	0.949
TRIM39	-5.00	12	-1.02	0.154	1971	0.905	0.846	16087	0.949
UST	-5.00	12	-1.02	0.154	1972	0.905	0.846	16086	0.949
POLD3	-4.99	12	-1.02	0.154	1973	0.905	0.846	16085	0.949
APOC3	-4.99	12	-1.02	0.154	1974	0.905	0.846	16084	0.949
FERMT3	-4.99	12	-1.02	0.154	1975	0.905	0.846	16083	0.949
NDST3	-4.99	12	-1.02	0.155	1976	0.905	0.845	16082	0.949
COL4A3BP	-4.98	12	-1.02	0.155	1977	0.905	0.845	16081	0.949
CACNA2D1	-4.98	12	-1.02	0.155	1978	0.905	0.845	16080	0.949
C20orf173	-4.98	12	-1.02	0.155	1979	0.905	0.845	16079	0.949
CCDC105	-4.98	12	-1.02	0.155	1980	0.905	0.845	16078	0.949
CYB5R1	-4.98	12	-1.02	0.155	1981	0.905	0.845	16077	0.949
FBXW9	-4.98	12	-1.02	0.155	1982	0.905	0.845	16076	0.949
OR5L2	-4.98	12	-1.02	0.155	1983	0.905	0.845	16075	0.949
THAP2	-4.98	12	-1.02	0.155	1984	0.905	0.845	16074	0.949
G6PC3	-4.98	12	-1.02	0.155	1985	0.905	0.845	16073	0.949
MGAT4B	-4.98	12	-1.01	0.155	1986	0.905	0.845	16072	0.949
C6orf223	-4.98	12	-1.01	0.155	1987	0.905	0.845	16071	0.949
CACNB3	-4.98	12	-1.01	0.155	1988	0.905	0.845	16070	0.949
FNDC8	-4.97	12	-1.01	0.155	1989	0.905	0.845	16069	0.949
MCRS1	-4.97	12	-1.01	0.155	1990	0.905	0.845	16068	0.949
NCKAP1	-4.97	12	-1.01	0.155	1991	0.905	0.845	16067	0.949
RBP1	-4.97	12	-1.01	0.155	1992	0.905	0.845	16066	0.949
CCDC179	-2.49	3	-1.01	0.155	1993	0.905	0.845	16065	0.949
PPM1N	-4.97	12	-1.01	0.155	1994	0.905	0.845	16064	0.949
TSPAN16	-4.97	12	-1.01	0.155	1995	0.905	0.845	16063	0.949
MAU2	-4.97	12	-1.01	0.155	1996	0.905	0.845	16062	0.949
BPIFA2	-4.97	12	-1.01	0.155	1997	0.905	0.845	16061	0.949
PRG4	-4.96	12	-1.01	0.156	1998	0.905	0.844	16060	0.949
SENP8	-4.96	12	-1.01	0.156	1999	0.905	0.844	16059	0.949
LCN9	-4.96	12	-1.01	0.156	2000	0.905	0.844	16058	0.949
C9orf64	-4.96	12	-1.01	0.156	2001	0.905	0.844	16057	0.949
ACCS	-4.96	12	-1.01	0.156	2002	0.905	0.844	16056	0.949
GBA2	-4.96	12	-1.01	0.156	2003	0.905	0.844	16055	0.949
C11orf84	-4.96	12	-1.01	0.156	2004	0.905	0.844	16054	0.949
FAM47E	-4.95	12	-1.01	0.156	2005	0.905	0.844	16053	0.949
C11orf70	-4.95	12	-1.01	0.156	2006	0.905	0.844	16052	0.949
KIF26A	-4.94	12	-1.01	0.156	2007	0.905	0.844	16051	0.949
LOXHD1	-4.94	12	-1.01	0.157	2008	0.905	0.843	16050	0.949
COLQ	-4.94	12	-1.01	0.157	2009	0.905	0.843	16049	0.949
GABARAP	-4.94	12	-1.01	0.157	2010	0.905	0.843	16048	0.949
SYT2	-4.94	12	-1.01	0.157	2011	0.905	0.843	16047	0.949
SYNPO2L	-4.94	12	-1.01	0.157	2012	0.905	0.843	16046	0.949
IRF3	-4.94	12	-1.01	0.157	2013	0.905	0.843	16045	0.949
SLC35A3	-4.94	12	-1.01	0.157	2014	0.905	0.843	16044	0.949
KIAA0125	-4.94	12	-1.01	0.157	2015	0.905	0.843	16043	0.949
GOLGA6L2	-4.94	12	-1.01	0.157	2016	0.905	0.843	16042	0.949
RORC	-4.93	12	-1.01	0.157	2017	0.905	0.843	16041	0.949
PRR19	-4.93	12	-1.01	0.157	2018	0.905	0.843	16040	0.949
OR2A14	-4.93	12	-1.01	0.157	2019	0.905	0.843	16039	0.949
VANGL1	-4.92	12	-1.00	0.157	2020	0.905	0.843	16038	0.949
ERAP2	-4.92	12	-1.00	0.158	2021	0.905	0.842	16037	0.949
FUT3	-4.92	12	-1.00	0.158	2022	0.905	0.842	16036	0.949
HOXC5	-4.92	12	-1.00	0.158	2023	0.905	0.842	16035	0.949
POLDIP3	-4.92	12	-1.00	0.158	2024	0.905	0.842	16034	0.949
CEP63	-4.92	12	-1.00	0.158	2025	0.905	0.842	16033	0.949
SLC16A1	-4.92	12	-1.00	0.158	2026	0.905	0.842	16032	0.949
TM9SF4	-4.92	12	-1.00	0.158	2027	0.905	0.842	16031	0.949
DTNBP1	-4.91	12	-1.00	0.158	2028	0.905	0.842	16030	0.949
NT5C	-4.91	12	-1.00	0.158	2029	0.905	0.842	16029	0.949
TFEC	-4.91	12	-1.00	0.158	2030	0.905	0.842	16028	0.949
ETFB	-4.91	12	-1.00	0.158	2031	0.905	0.842	16027	0.949
RAB41	-4.91	12	-1.00	0.158	2032	0.905	0.842	16026	0.949
CHD5	-4.91	12	-1.00	0.158	2033	0.905	0.842	16025	0.949
STAB2	-4.91	12	-1.00	0.158	2034	0.905	0.842	16024	0.949
CCDC73	-4.91	12	-1.00	0.158	2035	0.905	0.842	16023	0.949
SLC9C1	-4.91	12	-1.00	0.158	2036	0.905	0.842	16022	0.949
ANGEL2	-4.91	12	-1.00	0.158	2037	0.905	0.842	16021	0.949
GRASP	-4.90	12	-1.00	0.158	2038	0.905	0.842	16020	0.949
CPA1	-4.90	12	-1.00	0.159	2039	0.905	0.841	16019	0.949
DAG1	-4.90	12	-1.00	0.159	2040	0.905	0.841	16018	0.949
RNF186	-4.90	12	-1.00	0.159	2041	0.905	0.841	16017	0.949
METTL13	-4.90	12	-1.00	0.159	2042	0.905	0.841	16016	0.949
NCSTN	-4.90	12	-1.00	0.159	2043	0.905	0.841	16015	0.949
C11orf88	-4.90	12	-1.00	0.159	2044	0.905	0.841	16014	0.949
LAX1	-4.89	12	-1.00	0.159	2045	0.905	0.841	16013	0.949
BCR	-4.89	12	-1.00	0.159	2046	0.905	0.841	16012	0.949
ZNF215	-4.89	12	-1.00	0.159	2047	0.905	0.841	16011	0.949
NUP205	-4.89	12	-1.00	0.159	2048	0.905	0.841	16010	0.949
SNX6	-4.89	12	-1.00	0.159	2049	0.905	0.841	16009	0.949
RSBN1L	-4.89	12	-1.00	0.159	2050	0.905	0.841	16008	0.949
NPPB	-4.88	12	-1.00	0.159	2051	0.905	0.841	16007	0.948
CFL2	-4.88	12	-1.00	0.159	2052	0.905	0.841	16006	0.948
CNTRL	-4.88	12	-1.00	0.16	2053	0.905	0.84	16005	0.948
CPXM1	-4.87	12	-1.00	0.16	2054	0.905	0.84	16004	0.948
FAM194A	-4.87	12	-1.00	0.16	2055	0.905	0.84	16003	0.948
FAM83D	-4.87	12	-1.00	0.16	2056	0.905	0.84	16002	0.948
RGN	-4.87	12	-1.00	0.16	2057	0.905	0.84	16001	0.948
CACNA1S	-4.87	12	-1.00	0.16	2058	0.905	0.84	16000	0.948
ACSBG1	-4.87	12	-1.00	0.16	2059	0.905	0.84	15999	0.948
PIFO	-4.87	12	-0.99	0.16	2060	0.905	0.84	15998	0.948
